id,left_,right_
144_3601979963339863480_-6855259127744226018,Wolverine World Wide Inc,Wolverine World Wide
145_-1899038094314101150_-1899038094314101150,RECTICEL OU,RECTICEL OU
146_-4359204591120727798_-426530112117363610,Xilinx Inc,Xilinx
147_4044737402556466593_-1757753015335251525,Kokuyo Co. Ltd,Kokuyo
148_-6404916130155531063_8564893688279831216,Essentra,Essentra plc
149_-4168360070349205805_-6276003816697400571,Corbion,Corbion N.V.
150_3293359235779358410_-6092850898673056571,China Eastern Airlines,China Eastern Airlines Corporation Limited
151_1543182860339888494_1992797367709547728,Jizhong Energy Resources,Jizhong Energy Resources Co Ltd
152_5741753033591085492_-978992353432697226,Safran SA,Safran
153_3829901044785411775_793878830622801861,Semapa - Sociedade De Investimento E Gestao Sgps,Semapa Sociedade de Investimento e Gestao SGPS SA
155_-4155099930824176129_-635872482196654755,AMAZON.COM SERVICES LLC,Amazon.com
156_-3104535282168610705_-3386062114832100527,Workday Careers,Workday
157_2006847302752919113_-3583031953976812344,Saudi Arabian Mining,Saudi Arabian Mining Company (ma'aden)
158_8132141138554619061_6557344481826606031,Ingles Markets Inc,Ingles Markets
159_4778909485530587998_-4155330266893502096,Getac Technology Corporation,Getac Holdings Corp
160_-6304154362500405441_-2072511906766289252,"United Super Markets Holdings, Inc.",United Super Markets Holdings
162_-5458491642099758575_-3270885989885289246,Haohua Chemical Science & Technology Corp Ltd,Haohua Chemical Science & Technology
163_6771177874371919457_-5541531249984632330,Wustenrot & Wurttembergische AG,Wustenrot & Wurttembergische Ag
164_-3608611307347058418_4332765939352005115,Grendene,Grendene SA
