id,left_,right_
119_3425184298604727868_5159574911741638254,Varonis Systems,Varonis
120_2805131597707592974_-1409760370485068105,Reinsurance Group of America,"Reinsurance Group of America, Incorporated"
121_6105843132044467947_-1347128632174447742,Fox Factory Holding,Fox Factory Holding Corp
123_2478763729707521443_6148389387960448247,Aurora Cannabis,Aurora Cannabis Inc.
124_6831283842042813699_-5269459998603866191,Creepy Jar,Creepy Jar SA
125_2559307777116923054_6804885593109255374,Zynga,Zynga Inc.
126_1404657274055590767_4683394956734760145,Apartment Income Reit,Apartment Income REIT Corp.
128_5424525485367174672_5424525485367174672,GIORGIO GORI SRL,GIORGIO GORI SRL
129_-332742711732651714_-332742711732651714,China Merchants Bank,China Merchants Bank
130_3027685849780173370_-3427130979727830745,ALL ABOUT CRAFTS TRADE LIMITED,ALL ABOUT CRAFTS LIMITED
131_4981563749673915815_1855097348936979823,Kennedy-wilson Holdings,Kennedy Wilson
132_-6239144524191509730_9030810185524914044,Nu Holdings Ltd.,Nu Holdings
134_-6547502168590584932_-6180068491764441352,Swiss Life Holding,Swiss Life
135_8851530526584141531_4953844606486116807,"Ionis Pharmaceuticals, Inc.",Ionis Pharmaceuticals
136_-519994618172825682_-8519799011116264652,Japan Tobacco Inc,Japan Tobacco
137_4959593772811976385_3799427613544091344,Chevron Corporation,Chevron
139_2509048695060376931_-2021025155631097662,MindMaze,Mindmaze
140_-5686370669863107073_-5686370669863107073,Bank Albilad,Bank Albilad
141_4888927359534189013_1190148179254947270,"Under Armour, Inc.",Under Armour
142_4557770904235503360_-3987735118535827255,Booz Allen Hamilton Holding,Booz Allen Hamilton Holding Corporation
143_-164701189633235737_6553173229880474584,Castellum,Castellum Ab (publ)
144_343058893780677563_6759993369502102799,China Construction Bank,China Construction Bank Corporation
145_6423099668109621061_7488711745759850109,Hana,Hana Financial Group
146_-2739481759636233569_2359155927515783921,Wolverine World Wide Inc,Wolverine World Wide
147_3235568953127447103_1157946747607437489,Shanghai Maling Aquarius Co Ltd,Shanghai Maling Aquarius
148_-6568911654873607380_-3927881648439746556,Monster Beverage,Monster Beverage Corporation
149_1229816890690876988_1229816890690876988,RECTICEL OU,RECTICEL OU
150_2349224506574285820_2349224506574285820,MERRILL LYNCH EUROPE LIMITED,MERRILL LYNCH EUROPE LIMITED
151_8346079889283672741_8346079889283672741,La Vida Europe,La Vida Europe
153_-4476498099986207132_-8672429929756477130,Truist Financial Corporation,Truist Financial
154_5657551050861857581_-447210298353969279,Applegreen plc,Applegreen
155_-1253396058543254614_-6638618743341098870,Kinder Morgan,Kinder Morgan Inc
158_-5548012604470195136_-9110170907138828223,Twitter Inc,Twitter
159_8346527948495028823_2225324108417654625,Kajima Corp,Kajima Corporation
160_1214293580907394203_-6728965399140303012,ASHTEAD GROUP PUBLIC LIMITED COMPANY,Ashtead Group
161_-1979415459055005205_2509439955459821619,Schnitzer Steel,"Schnitzer Steel Industries, Inc."
162_5259097264915359901_-4789786765143084645,Kraft Heinz,Kraft Heinz Company
163_122021292100020264_1579486621554029593,Blackrock Throgmorton Trust,BlackRock Throgmorton Trust plc
